extra_lag_months,horizon_months,mean_ic_%,t_stat,hit_rate_%,n_months
0,1,5.739366706409632,6.500757452824253,67.5392670157068,191
0,2,6.569228335328592,7.8294779923496645,68.42105263157895,190
0,3,7.2203308122443595,8.501633482177729,68.78306878306879,189
0,6,8.338382057147447,9.9827348082541,77.95698924731182,186
0,12,8.011745196528606,9.726391240305317,78.33333333333333,180
1,1,4.2287947832336705,5.043567092933539,65.78947368421053,190
1,2,4.959597566777743,6.069466765630482,67.1957671957672,189
1,3,5.846799392802622,7.006785853806077,67.5531914893617,188
1,6,7.48836829048493,8.922164941773913,77.83783783783784,185
1,12,6.68305989804079,8.222983709576624,74.86033519553072,179
2,1,3.1799768143336578,3.799580887386745,64.02116402116403,189
2,2,4.542639946222264,5.377713577846758,67.5531914893617,188
2,3,5.685108156321076,6.645695402284066,66.31016042780749,187
2,6,6.8032726122653315,8.506476381416777,75.54347826086956,184
2,12,6.102417068394781,7.718592705092843,71.34831460674157,178
3,1,3.5160238523285225,4.219309331562428,67.02127659574468,188
3,2,4.880392338465341,5.876777374862421,68.98395721925134,187
3,3,6.268896121206113,7.766987334718745,72.58064516129032,186
3,6,6.320517022285446,8.294814206957083,72.6775956284153,183
3,12,5.871354876042789,7.671493908237954,72.88135593220339,177
