,total_return,CAGR,ann_vol,Sharpe,max_drawdown,hit_rate,n_months,alpha_vs_SPY_simple_%,CAPM_beta_vs_SPY,CAPM_alpha_vs_SPY_%,avg_turnover_%
Top decile EW (net),8.2069,0.1464,0.1704,0.8913,-0.2806,0.6,195.0,0.205,1.0871,-0.6814,29.9853
Top decile CW (net),11.8604,0.1702,0.1731,0.9999,-0.2227,0.6564,195.0,2.5871,1.1154,1.0229,32.5347
Top quintile EW (net),7.7114,0.1425,0.1647,0.8955,-0.2664,0.6359,195.0,-0.1846,1.0689,-0.8519,26.4644
Top quintile CW (net),11.6591,0.1691,0.1609,1.0565,-0.235,0.6821,195.0,2.4735,1.0516,1.6517,29.9834
LS D1-D10 EW (net),0.4498,0.0231,0.0958,0.2869,-0.2212,0.5487,195.0,-12.1215,-0.1101,4.3564,61.2512
LS D1-D10 CW (net),0.3137,0.0169,0.1178,0.2017,-0.2889,0.5385,195.0,-12.7403,0.0335,1.8866,69.4152
LS Q1-Q5 EW (net),0.3534,0.0188,0.0645,0.3212,-0.1438,0.5179,195.0,-12.5535,-0.0795,3.2311,54.0752
LS Q1-Q5 CW (net),0.4817,0.0245,0.0868,0.3217,-0.1801,0.5026,195.0,-11.9842,0.007,2.6917,63.8493
SPY (total return),7.943,0.1443,0.1445,1.01,-0.2393,0.6872,195.0,0.0,1.0,0.0,
Cap-wtd universe,8.614,0.1494,0.1449,1.0387,-0.2423,0.6769,195.0,0.5106,1.001,0.4408,
Equal-wtd universe,6.254,0.1297,0.1595,0.8483,-0.2734,0.6615,195.0,-1.4646,1.0491,-1.7872,
