date,scheme,returnOnInvestedCapital,returnOnEquity,freeCashFlowYield,revenueGrowth,epsgrowth,_has_history
2010-01-31,ew,0.2,0.2,0.2,0.2,0.2,False
2010-04-30,ew,0.2,0.2,0.2,0.2,0.2,False
2010-07-31,ew,0.2,0.2,0.2,0.2,0.2,False
2010-10-31,ew,0.2,0.2,0.2,0.2,0.2,False
2011-01-31,ew,0.2,0.2,0.2,0.2,0.2,False
2011-04-30,ew,0.2,0.2,0.2,0.2,0.2,False
2011-07-31,ew,0.2,0.2,0.2,0.2,0.2,False
2011-10-31,ew,0.2,0.2,0.2,0.2,0.2,False
2012-01-31,ew,0.2,0.2,0.2,0.2,0.2,False
2012-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2012-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2012-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2013-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2013-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2013-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2013-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2014-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2014-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2014-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2014-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2015-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2015-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2015-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2015-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2016-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2016-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2016-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2016-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2017-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2017-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2017-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2017-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2018-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2018-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2018-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2018-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2019-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2019-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2019-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2019-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2020-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2020-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2020-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2020-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2021-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2021-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2021-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2021-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2022-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2022-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2022-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2022-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2023-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2023-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2023-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2023-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2024-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2024-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2024-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2024-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2025-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2025-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
2025-07-31,ew,0.2,0.2,0.2,0.2,0.2,True
2025-10-31,ew,0.2,0.2,0.2,0.2,0.2,True
2026-01-31,ew,0.2,0.2,0.2,0.2,0.2,True
2026-04-30,ew,0.2,0.2,0.2,0.2,0.2,True
