fractile,total_return,active_return,tracking_error,info_ratio,t_stat,monthly_success,volatility,sharpe,capm_beta,capm_alpha,turnover,group,factor
Q1,0.1297,-0.0,0.0571,0.0916,0.3694,0.4974,0.1883,0.7463,1.1387,-0.0135,0.1914,value,Earnings yield
Q2,0.1279,-0.0017,0.0312,-0.0569,-0.2295,0.5077,0.158,0.8449,0.9768,0.0014,0.297,value,Earnings yield
Q3,0.1411,0.0114,0.0352,0.223,0.8991,0.559,0.1449,0.9876,0.8932,0.0223,0.3092,value,Earnings yield
Q4,0.1228,-0.0069,0.0443,-0.1892,-0.7626,0.441,0.1456,0.8712,0.8831,0.0074,0.2667,value,Earnings yield
Q5,0.1211,-0.0086,0.0549,-0.0567,-0.2284,0.4615,0.1868,0.7073,1.133,-0.0211,0.1911,value,Earnings yield
Q1-Q5,0.0046,0.0046,0.0861,0.0968,0.3902,0.4923,0.0861,0.0968,,,,value,Earnings yield
Market,0.1297,0.0,0.1595,0.8483,3.4195,0.6615,0.1595,0.8483,,,,value,Earnings yield
Q1,0.135,0.0053,0.0562,0.1715,0.6912,0.5282,0.1869,0.7754,1.1304,-0.008,0.2284,value,FCF yield
Q2,0.1366,0.0069,0.0291,0.1923,0.7754,0.559,0.156,0.9029,0.967,0.0101,0.3236,value,FCF yield
Q3,0.1377,0.008,0.0359,0.1435,0.5783,0.5385,0.1469,0.9557,0.9038,0.0182,0.3305,value,FCF yield
Q4,0.1239,-0.0058,0.0429,-0.1458,-0.5875,0.4769,0.1529,0.8437,0.9283,0.0034,0.3053,value,FCF yield
Q5,0.1102,-0.0195,0.0425,-0.3364,-1.3562,0.4718,0.1783,0.6783,1.0954,-0.0272,0.2272,value,FCF yield
Q1-Q5,0.022,0.022,0.0656,0.365,1.4713,0.5641,0.0656,0.365,,,,value,FCF yield
Market,0.1297,0.0,0.1595,0.8483,3.4195,0.6615,0.1595,0.8483,,,,value,FCF yield
Q1,0.1262,-0.0036,0.0828,0.0769,0.3099,0.4667,0.2101,0.6746,1.2395,-0.026,0.0622,value,Book-to-market
Q2,0.1126,-0.0172,0.032,-0.4931,-1.9877,0.4205,0.1566,0.7636,0.9673,-0.0113,0.119,value,Book-to-market
Q3,0.1217,-0.0081,0.0268,-0.2889,-1.1644,0.4564,0.1566,0.8149,0.9731,-0.0041,0.1255,value,Book-to-market
Q4,0.1256,-0.0042,0.0434,-0.1062,-0.4281,0.5026,0.1548,0.8447,0.9389,0.0037,0.1007,value,Book-to-market
Q5,0.1553,0.0255,0.0516,0.4129,1.6646,0.559,0.152,1.031,0.9064,0.034,0.0417,value,Book-to-market
Q1-Q5,-0.0229,-0.0229,0.1278,-0.117,-0.4718,0.4615,0.1278,-0.117,,,,value,Book-to-market
Market,0.1298,0.0,0.1594,0.8489,3.422,0.6615,0.1594,0.8489,,,,value,Book-to-market
Q1,0.1375,0.0075,0.058,0.2299,0.9268,0.5128,0.1961,0.7587,1.1962,-0.0132,0.0579,value,Sales yield
Q2,0.124,-0.0059,0.0368,-0.0758,-0.3054,0.5026,0.1737,0.7639,1.0721,-0.0125,0.1263,value,Sales yield
Q3,0.1305,0.0005,0.0275,0.007,0.0282,0.5128,0.1571,0.8638,0.975,0.0036,0.1519,value,Sales yield
Q4,0.1214,-0.0085,0.0381,-0.2597,-1.0469,0.4769,0.1447,0.8676,0.8879,0.0053,0.1291,value,Sales yield
Q5,0.1297,-0.0002,0.0642,-0.0155,-0.0624,0.5026,0.1547,0.8693,0.8942,0.0133,0.0557,value,Sales yield
Q1-Q5,0.0077,0.0077,0.1153,0.1242,0.5005,0.5231,0.1153,0.1242,,,,value,Sales yield
Market,0.1299,0.0,0.1595,0.8495,3.4243,0.6615,0.1595,0.8495,,,,value,Sales yield
Q1,0.1229,-0.0069,0.0637,0.0053,0.0212,0.5077,0.1943,0.6982,1.1683,-0.0224,0.1631,value,EBITDA/EV
Q2,0.1256,-0.0041,0.0324,-0.1243,-0.5011,0.4821,0.157,0.8364,0.9688,0.0002,0.2753,value,EBITDA/EV
Q3,0.1411,0.0114,0.0284,0.2929,1.1807,0.5846,0.1476,0.9729,0.9173,0.0195,0.2962,value,EBITDA/EV
Q4,0.1282,-0.0016,0.0382,-0.073,-0.2941,0.4667,0.1512,0.8768,0.9254,0.0073,0.2609,value,EBITDA/EV
Q5,0.125,-0.0047,0.0543,-0.0358,-0.1442,0.5128,0.1743,0.7651,1.045,-0.008,0.1664,value,EBITDA/EV
Q1-Q5,-0.003,-0.003,0.1027,0.0222,0.0894,0.4923,0.1027,0.0222,,,,value,EBITDA/EV
Market,0.1298,0.0,0.1595,0.8485,3.4206,0.6667,0.1595,0.8485,,,,value,EBITDA/EV
Q1,0.1495,0.0198,0.0365,0.4702,1.8953,0.5846,0.1573,0.9691,0.9652,0.0218,0.1172,quality,Return on equity
