group,factor,slug,mean_ic_%,ic_t,ic_hit_%,mean_ic_2m_%,ic_t_2m,Q1_active_%,Q1_IR,Q1Q5_ann_%,Q1Q5_IR,Q1_turnover_%,pure_ann_%,pure_IR,pure_t,raw_ann_%,raw_IR,raw_t
value,Earnings yield,earnings_yield,1.025,1.206,50.769,0.952,1.12,-0.004,0.092,0.465,0.097,19.144,0.369,0.161,0.649,0.307,0.102,0.41
value,FCF yield,fcf_yield,1.105,1.664,54.872,1.382,1.909,0.529,0.171,2.203,0.365,22.844,0.379,0.203,0.818,0.831,0.357,1.44
value,Book-to-market,book_to_market,-0.941,-0.805,47.179,-1.004,-0.869,-0.363,0.077,-2.288,-0.117,6.216,-0.375,-0.105,-0.425,-0.57,-0.13,-0.526
value,Sales yield,sales_yield,0.507,0.464,50.769,0.436,0.4,0.754,0.23,0.773,0.124,5.787,1.147,0.388,1.563,0.649,0.157,0.634
value,EBITDA/EV,ebitda_ev,0.34,0.358,50.256,0.306,0.32,-0.687,0.005,-0.298,0.022,16.313,0.362,0.143,0.578,0.08,0.023,0.092
quality,Return on equity,return_on_equity,1.069,1.546,56.923,1.004,1.479,1.978,0.47,2.137,0.312,11.718,0.328,0.191,0.771,0.581,0.214,0.863
quality,ROIC,roic,1.299,1.549,53.333,1.185,1.426,1.532,0.275,1.188,0.17,10.02,0.63,0.267,1.075,0.71,0.214,0.864
quality,Return on assets,return_on_assets,0.935,0.996,54.872,0.814,0.876,1.21,0.194,0.468,0.099,11.53,0.287,0.111,0.446,0.522,0.14,0.565
quality,Gross margin,gross_margin,-0.124,-0.167,54.359,-0.068,-0.092,-0.179,-0.026,-1.687,-0.173,3.364,-0.787,-0.386,-1.554,-0.596,-0.218,-0.877
quality,Operating margin,operating_margin,0.286,0.389,51.795,0.232,0.325,0.645,0.134,-0.65,-0.04,8.245,-0.325,-0.169,-0.679,-0.175,-0.06,-0.242
quality,Net margin,net_margin,0.573,0.808,51.795,0.55,0.8,0.037,-0.013,-1.121,-0.095,11.308,-0.321,-0.173,-0.698,0.028,0.01,0.039
quality,Interest coverage,interest_coverage,0.773,1.135,52.308,0.717,1.046,0.697,0.136,0.055,0.049,8.407,0.187,0.095,0.383,0.353,0.126,0.508
quality,Low leverage,low_leverage,0.403,0.702,51.282,0.364,0.63,1.271,0.318,0.603,0.136,3.526,0.264,0.132,0.532,0.333,0.172,0.694
momentum,12-1m momentum,12_1m_momentum,1.083,0.755,53.333,0.637,0.466,1.609,0.201,1.909,0.2,24.554,0.779,0.187,0.755,0.833,0.156,0.628
momentum,6-1m momentum,6_1m_momentum,0.172,0.129,51.795,-0.273,-0.207,0.863,0.12,0.766,0.124,35.772,0.646,0.163,0.656,0.52,0.11,0.442
momentum,3-1m momentum,3_1m_momentum,0.237,0.19,48.205,-0.535,-0.409,0.796,0.113,0.58,0.108,56.752,0.351,0.099,0.4,0.438,0.096,0.387
growth,Revenue growth,revenue_growth,0.647,1.036,53.846,1.254,2.038,1.414,0.348,1.914,0.305,31.191,0.465,0.262,1.057,0.871,0.372,1.499
growth,EPS growth,eps_growth,0.285,0.564,50.256,0.901,1.914,0.206,0.081,1.56,0.292,30.952,0.487,0.344,1.387,0.574,0.294,1.187
growth,Net-income growth,net_income_growth,0.125,0.245,51.282,0.733,1.527,-0.098,-0.001,1.051,0.208,31.021,0.386,0.276,1.111,0.469,0.241,0.97
growth,EBITDA growth,ebitda_growth,0.169,0.335,50.256,0.843,1.726,0.946,0.263,1.343,0.257,30.971,0.401,0.265,1.066,0.611,0.308,1.24
risk,Low volatility,low_volatility,-0.004,-0.002,51.282,-0.021,-0.013,-1.095,-0.191,-4.752,-0.192,14.727,-0.545,-0.116,-0.466,-1.122,-0.183,-0.737
sentiment,Rating revision 3m,rating_revision_3m,0.181,0.356,52.941,0.086,0.166,0.49,0.157,-0.164,0.015,34.91,0.251,0.181,0.682,0.335,0.192,0.722
sentiment,Rating revision 6m,rating_revision_6m,0.698,1.298,55.294,0.568,1.008,1.666,0.475,1.216,0.2,24.095,0.494,0.359,1.352,0.709,0.39,1.467
sentiment,Rating breadth 12m,rating_breadth_12m,0.077,0.15,51.765,-0.098,-0.185,0.896,0.214,0.301,0.079,17.351,0.222,0.152,0.571,0.119,0.07,0.265
size,Small size,small_size,-0.552,-0.594,48.718,-0.659,-0.725,-1.18,-0.018,-1.375,-0.066,6.203,-0.64,-0.233,-0.94,-0.264,-0.07,-0.283
reversal,Short-term reversal,short_term_reversal,0.87,0.725,51.282,-0.099,-0.093,-0.551,0.049,0.299,0.088,78.196,0.336,0.098,0.394,0.478,0.106,0.427
