Group,Factor,IC_1m,IC_2m,Hit_1m,Hit_2m,t_1m,t_2m,Act_top,Act_bot,Act_LS,TE_top,TE_bot,IR_top,IR_bot,Succ_top,Succ_bot,Turn_top,Turn_bot
Value,Value (composite),0.4,0.4,49.2,50.0,0.32,0.36,0.1,-0.9,1.1,6.1,6.6,0.02,-0.14,51.8,49.7,18.0,14.6
Value,   Earnings yield,1.0,1.0,50.8,53.6,1.21,1.12,0.5,-0.3,0.8,5.7,5.5,0.09,-0.06,49.7,46.2,19.1,19.1
Value,   FCF yield,1.1,1.4,54.9,52.1,1.66,1.91,1.0,-1.4,2.4,5.6,4.3,0.17,-0.34,52.8,47.2,22.8,22.7
Value,   Book-to-market,-0.9,-1.0,47.2,45.9,-0.8,-0.87,0.6,2.1,-1.5,8.3,5.2,0.08,0.41,46.7,55.9,6.2,4.2
Value,   Sales yield,0.5,0.4,50.8,51.0,0.46,0.4,1.3,-0.1,1.4,5.8,6.4,0.23,-0.02,51.3,50.3,5.8,5.6
Value,   EBITDA/EV,0.3,0.3,50.3,51.5,0.36,0.32,0.0,-0.2,0.2,6.4,5.4,0.01,-0.04,50.8,51.3,16.3,16.6
Quality,Quality (composite),1.0,0.9,53.3,51.0,1.2,1.14,1.4,0.1,1.3,5.0,6.1,0.27,0.01,52.3,45.6,10.0,15.8
Quality,   Return on equity,1.1,1.0,56.9,56.7,1.55,1.48,1.7,-0.7,2.4,3.6,5.1,0.47,-0.14,58.5,46.2,11.7,15.8
Quality,   ROIC,1.3,1.2,53.3,55.2,1.55,1.43,1.3,-0.4,1.7,4.7,5.9,0.27,-0.06,55.4,47.2,10.0,15.1
Quality,   Return on assets,0.9,0.8,54.9,52.1,1.0,0.88,1.0,-0.1,1.1,5.2,7.3,0.19,-0.02,51.3,48.2,11.5,14.6
Quality,   Gross margin,-0.1,-0.1,54.4,53.1,-0.17,-0.09,-0.1,1.3,-1.4,4.5,5.3,-0.03,0.24,54.9,51.8,3.4,5.3
Quality,   Operating margin,0.3,0.2,51.8,48.5,0.39,0.33,0.4,0.8,-0.3,3.3,5.8,0.13,0.13,45.6,49.2,8.2,12.1
Quality,   Net margin,0.6,0.6,51.8,48.5,0.81,0.8,-0.0,0.7,-0.8,3.6,5.9,-0.01,0.13,46.7,51.3,11.3,15.5
Quality,   Interest coverage,0.8,0.7,52.3,55.7,1.13,1.05,0.6,0.2,0.4,4.1,5.4,0.14,0.03,55.9,49.2,8.4,12.0
Quality,   Low leverage,0.4,0.4,51.3,51.5,0.7,0.63,1.1,0.4,0.8,3.6,2.9,0.32,0.13,52.8,50.8,3.5,3.5
Momentum,Momentum (composite),0.6,-0.1,51.3,54.1,0.46,-0.06,0.9,-2.5,3.4,6.9,8.0,0.14,-0.31,53.8,44.6,38.7,37.7
Momentum,   12-1m momentum,1.1,0.6,53.3,51.5,0.76,0.47,1.4,-1.7,3.1,7.1,9.4,0.2,-0.18,53.3,44.6,24.6,22.4
Momentum,   6-1m momentum,0.2,-0.3,51.8,52.1,0.13,-0.21,0.8,-0.9,1.7,6.7,7.6,0.12,-0.11,53.3,45.6,35.8,33.9
Momentum,   3-1m momentum,0.2,-0.5,48.2,51.5,0.19,-0.41,0.8,-0.6,1.4,6.7,7.1,0.11,-0.09,55.4,48.2,56.8,54.5
Growth,Growth (composite),0.4,1.1,51.3,57.2,0.65,1.96,1.0,-1.3,2.3,3.8,3.9,0.27,-0.32,52.8,43.1,31.9,31.9
Growth,   Revenue growth,0.6,1.3,53.8,55.2,1.04,2.04,1.3,-0.8,2.1,3.8,4.3,0.35,-0.19,52.3,45.1,31.2,32.4
Growth,   EPS growth,0.3,0.9,50.3,57.7,0.56,1.91,0.3,-1.4,1.7,3.5,4.1,0.08,-0.35,52.8,43.6,31.0,31.2
Growth,   Net-income growth,0.1,0.7,51.3,55.2,0.25,1.53,-0.0,-1.2,1.2,3.3,4.1,-0.0,-0.29,50.3,43.6,31.0,31.2
Growth,   EBITDA growth,0.2,0.8,50.3,54.6,0.33,1.73,1.0,-0.5,1.5,3.8,3.6,0.26,-0.14,50.8,48.2,31.0,31.7
Risk,Risk (composite),0.4,0.3,52.3,55.2,0.31,0.23,-0.3,0.8,-1.1,5.3,7.3,-0.05,0.11,50.3,47.7,11.4,9.7
Risk,   Low volatility,-0.0,-0.0,51.3,51.0,-0.0,-0.01,-1.6,1.8,-3.3,8.1,9.7,-0.19,0.18,47.7,50.8,14.7,11.9
Risk,   Low leverage,0.4,0.4,51.3,51.5,0.7,0.63,1.1,0.4,0.8,3.6,2.9,0.32,0.13,52.8,50.8,3.5,3.5
Size,Size (composite),-0.6,-0.7,48.7,47.4,-0.59,-0.72,-0.1,0.6,-0.7,7.0,4.8,-0.02,0.13,49.7,50.8,6.2,2.7
Size,   Small size,-0.6,-0.7,48.7,47.4,-0.59,-0.72,-0.1,0.6,-0.7,7.0,4.8,-0.02,0.13,49.7,50.8,6.2,2.7
Reversal,Short-term reversal (-1m),0.9,-0.1,51.3,51.5,0.73,-0.09,0.4,-0.8,1.1,7.3,6.3,0.05,-0.12,48.7,49.2,78.2,79.9
