factor,horizon,mean_ic,ic_std,n,ic_ir,t_stat,hit_rate
growth,1,0.0037,0.0802,195,0.046,0.65,0.513
growth,3,0.0178,0.0785,193,0.226,3.14,0.611
growth,6,0.0132,0.0802,190,0.165,2.27,0.595
momentum,1,0.0064,0.1938,195,0.033,0.46,0.513
momentum,3,0.0059,0.1602,193,0.037,0.52,0.57
momentum,6,0.016,0.1554,190,0.103,1.42,0.579
quality,1,0.01,0.117,195,0.086,1.2,0.533
quality,3,0.013,0.1302,193,0.1,1.39,0.606
quality,6,0.0151,0.1327,190,0.113,1.56,0.574
risk,1,0.0035,0.158,195,0.022,0.31,0.523
risk,3,0.0052,0.1531,193,0.034,0.48,0.518
risk,6,0.0144,0.1473,190,0.098,1.34,0.526
size,1,-0.0056,0.1223,195,-0.046,-0.64,0.477
size,3,-0.0119,0.1275,193,-0.094,-1.3,0.435
size,6,-0.0202,0.1287,190,-0.157,-2.17,0.411
value,1,0.0023,0.1533,195,0.015,0.21,0.472
value,3,0.0026,0.162,193,0.016,0.23,0.492
value,6,0.001,0.1679,190,0.006,0.09,0.495
