date,member_months,missing_price_months,pct_missing,distinct_members,distinct_missing_tickers
2000,5926,2731,46.1,544,264.0
2001,5936,2604,43.9,521,237.0
2002,5939,2502,42.1,515,223.0
2003,5946,2262,38.0,504,203.0
2004,5953,1954,32.8,515,178.0
2005,5975,1910,32.0,515,168.0
2006,5988,1740,29.1,527,162.0
2007,5988,1543,25.8,535,149.0
2008,5994,1353,22.6,535,127.0
2009,6000,1196,19.9,524,109.0
2010,6000,1043,17.4,515,96.0
2011,6000,979,16.3,517,90.0
2012,6000,848,14.1,517,79.0
2013,6000,764,12.7,518,69.0
2014,6005,688,11.5,514,60.0
2015,6033,560,9.3,526,57.0
2016,6057,337,5.6,530,36.0
2017,6059,239,3.9,531,25.0
2018,6060,162,2.7,528,18.0
2019,6060,71,1.2,524,9.0
2020,6060,33,0.5,520,3.0
2021,6060,24,0.4,522,2.0
2022,6050,13,0.2,520,2.0
2023,6049,12,0.2,518,1.0
2024,6048,12,0.2,521,1.0
2025,6045,9,0.1,522,1.0
2026,2012,0,0.0,509,
