symbol,first_missing,last_missing,n_missing_months,n_member_months,company_name,sector,in_current_index,has_any_fmp_price,ever_left_index,likely_status
SOLS,2000-01-31,2025-09-30,309,311,Solstice Advanced Materials,Unknown,False,True,True,partial FMP coverage (left index: delisted/acquired/renamed)
STI,2000-01-31,2019-11-30,239,239,SunTrust Banks Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
APC,2000-01-31,2019-07-31,235,235,Anadarko Petroleum Corp,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
CA,2000-01-31,2018-10-31,226,226,CA Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
BCR,2000-01-31,2017-11-30,215,215,C. R. Bard Inc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
DOW,2000-01-31,2017-08-31,212,297,Dow Inc,Basic Materials,True,True,True,partial FMP coverage (still in index)
YHOO,2000-01-31,2017-05-31,209,209,Yahoo! Inc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
XL,2001-08-31,2018-08-31,205,205,XL Group Ltd,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
EMC,2000-01-31,2016-08-31,200,200,EMC Corp.,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
TYC,2000-01-31,2016-08-31,200,200,Tyco International,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
GAS,2000-01-31,2016-05-31,197,197,AGL Resources Inc.,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
ACE,2000-01-31,2015-12-31,192,192,Chubb Corp.,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
MON,2002-08-31,2018-05-31,190,190,Monsanto Co.,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
SIAL,2000-01-31,2015-10-31,190,190,,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
ALTR,2000-04-30,2015-11-30,188,188,Altera Corp.,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
PLL,2000-01-31,2015-07-31,187,187,Pall Corp.,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
WRK,2000-01-31,2015-05-31,185,294,WestRock Co.,Unknown,False,True,True,partial FMP coverage (left index: delisted/acquired/renamed)
SWY,2000-01-31,2014-12-31,180,180,Safeway Inc.,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
TE,2001-10-31,2016-05-31,176,176,TECO Energy Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
RDC,2000-01-31,2014-07-31,175,175,Rowan Companies plc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
LLL,2004-11-30,2019-05-31,175,175,L3 Technologies Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
BEAM,2000-01-31,2014-03-31,171,171,Beam Suntory Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
FOXA,2004-12-31,2019-01-31,170,257,Fox Corporation (Class A),Communication Services,True,True,False,partial FMP coverage (still in index)
PCL,2002-01-31,2016-01-31,169,169,Plum Creek Timber Company,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
MOLX,2000-01-31,2013-11-30,167,167,Molex Inc.,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
FDO,2001-08-31,2015-06-30,167,167,Family Dollar Stores Inc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
DELL,2000-01-31,2013-09-30,165,185,Dell Technologies,Technology,True,True,True,partial FMP coverage (still in index)
BMC,2000-01-31,2013-08-31,164,164,BMC Software Inc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
FRX,2000-11-30,2014-05-31,163,163,Forest Laboratories Inc,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
S,2000-01-31,2013-06-30,162,162,Sprint Corp,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
HNZ,2000-01-31,2013-05-31,161,161,H. J. Heinz Company,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
RAI,2002-09-30,2015-08-31,156,178,Reynolds American Inc.,Unknown,False,True,True,partial FMP coverage (left index: delisted/acquired/renamed)
NBL,2007-10-31,2020-09-30,156,156,Noble Energy Inc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
NE,2001-01-31,2015-06-30,152,152,Noble Corp plc,Unknown,False,True,True,FMP price exists but outside membership window (left index: delisted/acquired/renamed)
SUN,2000-01-31,2012-08-31,152,153,Sunoco Inc,Unknown,False,True,True,partial FMP coverage (left index: delisted/acquired/renamed)
GR,2000-01-31,2012-06-30,150,150,Goodrich Corp.,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
PGN,2000-01-31,2012-05-31,149,149,Progress Energy Inc.,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
HSH,2000-01-31,2012-05-31,149,149,Hillshire Brands Co,Unknown,False,False,True,no FMP price at all (left index: delisted/acquired/renamed)
