strategy,kind,CAGR_%,ann_vol_%,Sharpe,max_drawdown_%,beta_vs_SPY,Jensen_alpha_%,ann_turnover_pa_%,cost_drag_pa_%
LightGBM top-Q EQ,long_only,8.54410806706547,19.662911539404927,0.5167504032321284,-32.14308394674495,1.1962612946587117,-6.917813947269616,693.5894230916024,1.387178846183205
LightGBM top-Q CA,long_only,11.372519485531507,18.15838456457462,0.6859058995492519,-28.28184442278918,1.1081334463736963,-3.365515836238554,780.725335247646,1.561450670495292
LightGBM top-D EQ,long_only,8.812266241987077,22.31728491806928,0.49061775929450085,-35.867473816434426,1.3131446463872432,-7.798080494263687,731.6090984637937,1.4632181969275873
LightGBM top-D CA,long_only,16.483017025242,20.552187590428606,0.8467477835191078,-25.999566263785123,1.1589756258285315,0.856203178893933,817.2153114264719,1.6344306228529437
XGBoost top-Q EQ,long_only,8.35157671174873,19.605665948125427,0.507960512180304,-31.325837384866663,1.183615823795384,-6.9391920439565435,716.5560180800785,1.4331120361601575
XGBoost top-Q CA,long_only,11.891873142866839,18.547241265659554,0.6996132816664532,-25.475492454500394,1.109757907273932,-2.8677545048296893,814.9273023384628,1.6298546046769256
XGBoost top-D EQ,long_only,9.71672621521147,22.021141139973572,0.5310178574919291,-34.50404655488516,1.2911720018711852,-6.740021364318071,774.7718605062884,1.5495437210125769
XGBoost top-D CA,long_only,13.692701685035802,21.176605236025626,0.7124815672953578,-26.151562528837978,1.218019790166133,-2.3013294523404877,870.489115698251,1.7409782313965023
Linear composite top-Q EQ,long_only,11.327013896088612,17.175817832943974,0.7137514263971445,-27.89369912975257,1.0397519214241517,-2.5849337816110314,552.4241047922542,1.1048482095845085
Linear composite top-Q CA,long_only,15.584639468445548,18.88678295373409,0.8623644445691987,-21.20503474765677,1.0881371141347085,0.7523122542708196,697.5497452796008,1.3950994905592016
Linear composite top-D EQ,long_only,13.661711370226604,17.592930582493974,0.819155531147784,-24.331396695498285,1.0311406013111448,-0.3099108616812259,679.2775703655225,1.358555140731045
Linear composite top-D CA,long_only,17.929125198663208,19.72161199419081,0.9355395751254709,-17.473647414066285,1.047461854638474,3.4960780505052096,807.0178356609385,1.6140356713218773
