ticker,company_name,membership_start,membership_end,source,found,n_rows,data_start,data_end,overlap_months,decision,confidence,notes
SOLS,Solstice Advanced Materials,1999-01-31,2025-11-30,yahoo,True,7,2025-10-01,2026-04-01,2,reject,,data present but outside membership window (likely recycled ticker)
SOLS,Solstice Advanced Materials,1999-01-31,2025-11-30,fmp_full,True,134,2025-10-20,2026-05-01,29,recover,high,
STI,SunTrust Banks Inc,1999-01-31,2019-11-30,yahoo,True,48,2022-05-01,2026-04-01,0,reject,,data present but outside membership window (likely recycled ticker)
STI,SunTrust Banks Inc,1999-01-31,2019-11-30,fmp_full,True,1004,2022-05-02,2026-05-01,0,reject,,data present but outside membership window (likely recycled ticker)
APC,Anadarko Petroleum Corp,1999-01-31,2019-07-31,yahoo,True,3,2026-02-01,2026-04-01,0,reject,,data present but outside membership window (likely recycled ticker)
APC,Anadarko Petroleum Corp,1999-01-31,2019-07-31,fmp_full,True,57,2026-02-10,2026-05-01,0,reject,,data present but outside membership window (likely recycled ticker)
CA,CA Inc,1999-01-31,2018-10-31,yahoo,True,29,2023-12-01,2026-04-01,0,reject,,data present but outside membership window (likely recycled ticker)
CA,CA Inc,1999-01-31,2018-10-31,fmp_full,True,595,2023-12-15,2026-05-01,0,reject,,data present but outside membership window (likely recycled ticker)
BCR,C. R. Bard Inc,1999-01-31,2017-11-30,yahoo,False,0,,,0,reject,,no data from this source
BCR,C. R. Bard Inc,1999-01-31,2017-11-30,fmp_full,False,0,,,0,reject,,no data from this source
DOW,Dow Inc,1999-01-31,2026-04-30,yahoo,True,86,2019-03-01,2026-04-01,86,recover,high,
DOW,Dow Inc,1999-01-31,2026-04-30,fmp_full,True,1790,2019-03-20,2026-05-01,1789,recover,high,
YHOO,Yahoo! Inc,1999-12-31,2017-05-31,yahoo,False,0,,,0,reject,,no data from this source
YHOO,Yahoo! Inc,1999-12-31,2017-05-31,fmp_full,False,0,,,0,reject,,no data from this source
XL,XL Group Ltd,2001-08-31,2018-08-31,yahoo,False,0,,,0,reject,,no data from this source
XL,XL Group Ltd,2001-08-31,2018-08-31,fmp_full,True,477,2020-12-22,2022-11-11,0,reject,,data present but outside membership window (likely recycled ticker)
EMC,EMC Corp.,1999-01-31,2016-08-31,yahoo,True,36,2023-05-01,2026-04-01,0,reject,,data present but outside membership window (likely recycled ticker)
EMC,EMC Corp.,1999-01-31,2016-08-31,fmp_full,True,744,2023-05-15,2026-05-01,0,reject,,data present but outside membership window (likely recycled ticker)
TYC,Tyco International,1999-01-31,2016-08-31,yahoo,False,0,,,0,reject,,no data from this source
TYC,Tyco International,1999-01-31,2016-08-31,fmp_full,False,0,,,0,reject,,no data from this source
GAS,AGL Resources Inc.,1999-01-31,2016-05-31,yahoo,False,0,,,0,reject,,no data from this source
GAS,AGL Resources Inc.,1999-01-31,2016-05-31,fmp_full,False,0,,,0,reject,,no data from this source
ACE,Chubb Corp.,1999-01-31,2015-12-31,yahoo,False,0,,,0,reject,,no data from this source
ACE,Chubb Corp.,1999-01-31,2015-12-31,fmp_full,True,1,2020-01-24,2020-01-24,0,reject,,data present but outside membership window (likely recycled ticker)
